epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,3479.76,1.07147,0.73137,0.00683,0.91395,0.88306,0.93814,0.66024,1.0393,0.45797,0.00829,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,3793.02,1.0622,0.72887,0.00687,0.91554,0.88097,0.9382,0.66115,1.03808,0.45889,0.00828,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,4107.2,1.06665,0.7284,0.00686,0.9166,0.87989,0.93802,0.66139,1.03817,0.4558,0.00828,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,4420.01,1.06129,0.73276,0.00685,0.92136,0.87663,0.93843,0.66153,1.0374,0.45619,0.00827,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,4734.15,1.05858,0.72454,0.00677,0.9201,0.87927,0.9387,0.66199,1.03629,0.4549,0.00826,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,5049.42,1.06183,0.72741,0.00673,0.91126,0.88293,0.9389,0.66245,1.03557,0.45533,0.00825,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,5363.27,1.05283,0.72145,0.00672,0.91111,0.88269,0.93886,0.66316,1.03409,0.45503,0.00824,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,5677.88,1.05907,0.72595,0.00674,0.90942,0.88401,0.93863,0.66306,1.0339,0.45441,0.00824,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,5992.5,1.0504,0.72639,0.00671,0.91369,0.882,0.93855,0.66363,1.03297,0.45497,0.00822,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,6305.86,1.04685,0.72009,0.00672,0.92241,0.87133,0.93802,0.66415,1.03207,0.45473,0.00821,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
