epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,11643,1.24195,0.90789,0.01413,0.90678,0.83112,0.90683,0.63036,1.11898,0.63471,0.0174,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,11762.9,1.23658,0.90524,0.01416,0.90048,0.83325,0.90674,0.63158,1.12352,0.62487,0.01758,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,11882.5,1.24325,0.90747,0.01405,0.89168,0.83522,0.90312,0.62685,1.12664,0.62759,0.0177,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,12001.1,1.24202,0.90966,0.01413,0.92042,0.81691,0.90412,0.62875,1.1238,0.62884,0.0176,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,12118.2,1.22753,0.89436,0.01408,0.90726,0.82815,0.90737,0.63091,1.12217,0.62779,0.01757,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,12237.1,1.23082,0.90449,0.0141,0.9089,0.82592,0.90676,0.63369,1.12205,0.63263,0.01749,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,12353.3,1.23531,0.90204,0.01402,0.89918,0.83922,0.90669,0.63354,1.11775,0.62833,0.01738,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,12475.4,1.23588,0.90344,0.01414,0.89907,0.83159,0.90575,0.63276,1.11764,0.62785,0.01729,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,12596.3,1.22359,0.90126,0.01398,0.89934,0.83256,0.90362,0.6291,1.11786,0.63797,0.01737,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,12717.3,1.22072,0.89478,0.01395,0.89776,0.83473,0.90452,0.62961,1.12126,0.62441,0.01742,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,12836.9,1.23064,0.88256,0.01398,0.90581,0.82616,0.90468,0.63038,1.11691,0.63297,0.01725,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,12956.4,1.22155,0.88043,0.01397,0.88834,0.83401,0.90453,0.63111,1.11715,0.62577,0.01717,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,13077.5,1.21726,0.87996,0.01372,0.89573,0.83099,0.90676,0.63242,1.11617,0.62462,0.01722,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,13200.1,1.22492,0.87426,0.01384,0.90968,0.82509,0.90699,0.63272,1.11439,0.6252,0.01719,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,13319.7,1.22012,0.86091,0.01378,0.89257,0.8414,0.90642,0.63374,1.11481,0.61873,0.01721,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,13440.3,1.21402,0.86775,0.01379,0.88963,0.84373,0.90684,0.6332,1.11283,0.62228,0.01714,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,13560.4,1.22095,0.87277,0.01386,0.91043,0.82923,0.90687,0.63272,1.11318,0.62155,0.01712,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,13679.2,1.21253,0.87168,0.01393,0.90337,0.83645,0.90698,0.63363,1.11537,0.61964,0.01718,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,13797.9,1.21786,0.86387,0.01359,0.90224,0.84189,0.9092,0.63564,1.11136,0.62088,0.01707,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,13915.3,1.20259,0.86288,0.01367,0.90594,0.84053,0.90886,0.63347,1.11205,0.61764,0.01704,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,14034.6,1.20749,0.8565,0.01365,0.91255,0.83293,0.90745,0.63396,1.11022,0.62155,0.01705,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,14152.7,1.20359,0.85531,0.01371,0.89672,0.8434,0.90745,0.63506,1.1139,0.61492,0.01716,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,14270.1,1.20731,0.84339,0.01371,0.91384,0.83073,0.90832,0.63542,1.1096,0.61617,0.01707,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,14388.4,1.2036,0.86381,0.01353,0.91192,0.83291,0.91031,0.63528,1.11331,0.61269,0.01716,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,14505.4,1.19735,0.84183,0.01356,0.90774,0.83482,0.90848,0.63497,1.1105,0.61317,0.01711,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,14622.8,1.20369,0.85309,0.01349,0.9112,0.83701,0.91069,0.63655,1.11128,0.60451,0.01713,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,14739.4,1.20205,0.85275,0.01361,0.91115,0.83926,0.90959,0.63579,1.11129,0.60659,0.01714,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,14857,1.19547,0.84632,0.01361,0.90291,0.84322,0.90869,0.63426,1.1134,0.60889,0.01714,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,14973.8,1.19885,0.85045,0.01346,0.90557,0.84427,0.90965,0.63523,1.11038,0.61099,0.01708,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,15091.6,1.19116,0.84515,0.01328,0.89836,0.847,0.90963,0.63458,1.11228,0.61273,0.01714,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,15208.5,1.1892,0.85185,0.01323,0.89788,0.84691,0.91016,0.63544,1.11277,0.61298,0.01714,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,15325.7,1.19143,0.84176,0.01352,0.89736,0.84628,0.90916,0.63535,1.11058,0.61432,0.01708,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,15442.8,1.20217,0.83478,0.01352,0.89888,0.84505,0.90995,0.63628,1.11236,0.61037,0.01709,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,15559.7,1.19253,0.82794,0.0135,0.89612,0.84779,0.9091,0.63556,1.11456,0.61114,0.01714,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
